CpG,Beta,SE,P,StudyID
cg17901584,-0.18,0.0184,1.8e-21,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg10368049,-0.049,0.0122,6.6e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg01689239,0.057,0.0112,3.3e-07,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg09940311,0.072,0.0185,9.2e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg18120259,-0.12,0.0247,2.9e-06,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg15920975,0.051,0.013,9.4e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg02917321,0.049,0.0113,1.5e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg02316713,0.073,0.016,5.4e-06,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg07626366,-0.07,0.0175,6.8e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg21227325,0.11,0.02,5.7e-08,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg07814318,0.084,0.0172,1.1e-06,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg06690548,-0.05,0.0113,1.1e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg17102747,0.065,0.0166,8.2e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg09105881,0.069,0.0162,1.9e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg02370100,0.063,0.0163,9.9e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg02902102,0.064,0.0136,2.7e-06,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg19751789,-0.079,0.0158,4.9e-07,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg15474831,-0.095,0.0216,1.2e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg00448560,-0.09,0.0212,2.4e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg13108601,0.068,0.0165,4.3e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg10917602,-0.052,0.013,7.2e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg25653947,0.11,0.0267,7.7e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg14438213,0.069,0.0165,3.2e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg03176386,0.1,0.026,5.5e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg08725389,0.078,0.0178,1.3e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg14087401,-0.11,0.0266,7.2e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg04177395,0.035,0.0087,6.3e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg05863841,0.077,0.0197,9.6e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg04469731,0.1,0.0208,4.7e-07,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg27243685,0.12,0.0199,5.9e-10,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg10827045,0.088,0.0189,2.9e-06,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg01176028,0.074,0.019,9.5e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg15447540,0.056,0.0145,9.7e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg23010346,0.071,0.0157,6.7e-06,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg09075522,-0.082,0.0182,6.5e-06,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg02644494,0.1,0.021,1.2e-06,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg04848682,-0.081,0.0202,6.4e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg15069471,0.078,0.0197,8.3e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg03439703,0.11,0.0267,1.9e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg11786657,0.048,0.0121,6.2e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg06500161,0.26,0.0257,2.5e-24,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg00521428,-0.079,0.02,7.7e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg20728490,0.057,0.0144,7.4e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg16330893,0.068,0.0166,4.5e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg17044311,0.076,0.0192,7.8e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg04757168,0.08,0.0197,5.2e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg02098313,0.076,0.0166,5.3e-06,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg20376447,0.079,0.0184,1.6e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg15286847,0.12,0.0307,5.3e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg21147709,-0.085,0.0214,7.7e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg24500799,-0.1,0.0231,1.2e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg20572816,0.042,0.0101,2.7e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg07482257,0.042,0.0095,9.4e-06,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg15840079,0.062,0.0158,9.9e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg24145481,0.075,0.0182,3.5e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg22620614,-0.078,0.0197,7.7e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg14845091,-0.11,0.0266,2.3e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg26394737,0.082,0.0196,2.9e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg16723994,-0.094,0.0231,5.1e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg13778848,-0.1,0.0245,3.9e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg02064275,0.1,0.0264,9.4e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg05904338,-0.051,0.0121,2.2e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg23609068,0.065,0.0164,6.9e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg00599410,0.05,0.0121,3.5e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg00812761,0.11,0.0228,1.9e-06,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg01287079,0.076,0.0187,5.3e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg20396069,-0.13,0.0261,1e-06,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg15773890,0.084,0.0209,6e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
