CpG,Beta,SE,P,StudyID
cg14855367,-0.069,0.0171,5e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg11752250,-0.073,0.0186,8.4e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg00134210,-0.06,0.0153,7.8e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg06710464,0.12,0.0244,1.7e-06,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg04630490,0.14,0.036,7.8e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg09292244,0.13,0.0273,1.1e-06,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg04797885,0.087,0.022,7.3e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg26161997,0.11,0.0238,2.7e-06,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg03084350,0.16,0.0376,1.2e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg09935388,-0.046,0.0108,1.9e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg03705319,0.12,0.0287,1.5e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg01004980,0.1,0.0256,8.4e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg13119578,-0.082,0.0204,6.2e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg25124943,-0.18,0.0386,2.8e-06,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg07007312,0.046,0.0115,6e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg07125412,0.19,0.0396,1.6e-06,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg08893087,-0.065,0.0158,4e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg18181703,-0.1,0.0217,3.7e-06,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg25343040,0.096,0.0221,1.5e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg20265358,0.098,0.0234,2.8e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
ch.2.105901354F,-0.066,0.0163,4.7e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg20000132,0.15,0.0309,1.3e-06,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg07368857,-0.08,0.0201,7.3e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg08315613,0.21,0.0467,4.5e-06,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg24642820,0.063,0.0151,3e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg10401362,0.098,0.0235,3e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg03992114,-0.084,0.0187,6.4e-06,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg10595406,0.11,0.0274,6.2e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg09777883,0.11,0.0282,8.4e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg18699025,0.13,0.0293,1.7e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg26804423,0.12,0.0294,6.6e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg00695799,-0.071,0.0173,3.6e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg25664403,0.12,0.0272,7.6e-06,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
