CpG,Beta,SE,P,StudyID
cg14011327,1.3,0.25,1.3e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg04747996,-1.56,0.3,1.4e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg00462849,-1.64,0.31,1.9e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg18310515,-1.23,0.24,1.9e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg07949141,-1.5,0.29,2.1e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg12011479,-1.21,0.23,2.2e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg12245438,2.3,0.44,2.3e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg22917487,-1.29,0.25,2.3e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg22354132,-1.34,0.26,2.4e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg18800235,-1.08,0.21,2.7e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg27309871,-1.28,0.25,3.2e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg19693031,-0.95,0.19,3.3e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg10152449,-0.77,0.15,3.4e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg16013543,1.19,0.23,4e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg01616956,-0.89,0.18,4.1e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg01112784,-1.39,0.28,4.1e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg05593759,-1.56,0.31,4.2e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg22014398,1.09,0.22,4.3e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg12255554,-1.28,0.25,4.7e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg06588802,-0.89,0.18,4.9e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg16697775,1.43,0.28,5e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg03538296,-0.94,0.19,5.2e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg16404170,-1.66,0.33,5.3e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg23912877,-1.28,0.26,5.4e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg15975802,1.18,0.24,5.4e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg05325369,1.55,0.31,5.7e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg07184627,-1.81,0.36,6e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg24604214,-1.5,0.3,6e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg04064701,-1.63,0.33,6e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg02384859,-1.02,0.2,6.2e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg08766149,-1.31,0.26,6.4e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg13733008,-1.6,0.32,6.6e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg25083933,2.04,0.41,7.2e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg21618017,1.77,0.36,7.9e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg06653632,-1.11,0.23,8.3e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg07986385,1.35,0.28,9.2e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg16212145,-1.23,0.25,9.2e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg21500092,-1.51,0.31,9.2e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg22959409,-1.33,0.27,1e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg02484476,-1.06,0.22,1e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg14049634,-1.2,0.25,1.1e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg02935272,-1.53,0.31,1.2e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg00656410,-1.4,0.29,1.2e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg02006203,-2.18,0.45,1.3e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg23521905,-1.03,0.21,1.4e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg13775629,-1.19,0.25,1.4e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg21254939,1.03,0.21,1.5e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg14058851,-1.11,0.23,1.5e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg24620635,-1.04,0.22,1.5e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg01132568,-1.33,0.28,1.5e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg20073893,-1.28,0.27,1.6e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg08625996,-1.72,0.36,1.6e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg15794034,1.4,0.29,1.7e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg16023434,-1.17,0.25,1.7e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg14259466,-0.78,0.16,1.7e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg25395087,-1.47,0.31,1.8e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg02722434,-1.27,0.27,1.8e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg22488278,-1.17,0.25,1.9e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg26332488,-0.94,0.2,1.9e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg07930874,-1.58,0.33,2e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg09164206,-1.42,0.3,2e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg18352710,-0.89,0.19,2e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg03907390,1.47,0.31,2.1e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg15354065,0.98,0.21,2.2e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg04179740,0.76,0.16,2.2e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg13424923,1.41,0.3,2.4e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg10910862,-1.3,0.28,2.5e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg11850861,-1.11,0.23,2.5e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg26275360,-1.5,0.32,2.5e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg09471611,-1.24,0.26,2.5e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg21650861,-1.46,0.31,2.6e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg07873128,-1.65,0.35,2.7e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg07485754,-1.59,0.34,2.8e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg20977024,-1.28,0.27,2.8e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg13707005,-1.24,0.26,2.9e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg15472170,-1.02,0.22,3.1e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg01447281,0.87,0.19,3.1e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg14697880,-1.24,0.27,3.1e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg00719568,-1.06,0.23,3.1e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg00905524,1.1,0.24,3.1e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg21469707,-1.76,0.38,3.1e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg23002708,-1.34,0.29,3.2e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg05023114,1.16,0.25,3.2e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg00293189,-1.26,0.27,3.3e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg14016074,1.87,0.4,3.3e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg20435267,-1.6,0.35,3.5e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg09875326,-1.54,0.33,3.7e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg13240704,-1.27,0.27,3.9e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg16360310,-1.34,0.29,4e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg22348356,-1.2,0.26,4.1e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg04911679,-1.2,0.26,4.1e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg27663123,-1.05,0.23,4.1e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg14496375,-0.97,0.21,4.1e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg26562462,1.26,0.27,4.2e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg05640322,-1.22,0.27,4.3e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg17228698,-1.24,0.27,4.3e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg09556700,-0.9,0.2,4.4e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg23428192,-1.54,0.34,4.5e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg20697204,-1.13,0.25,4.5e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg08200851,-1.84,0.4,4.5e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg18758585,1.32,0.29,4.6e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg04873169,-1.16,0.25,4.8e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg01291375,-1.08,0.24,5.1e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg11645306,-1.48,0.33,5.1e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg07584031,-1.26,0.28,5.2e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg06398474,1.05,0.23,5.3e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg04482712,-1.15,0.25,5.4e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg00290023,1.22,0.27,5.7e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg12531611,-1.2,0.26,5.7e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg12956598,-1.43,0.31,5.7e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg02555727,-1.27,0.28,5.9e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg06240200,-1.15,0.25,6.1e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg22900360,-1.11,0.24,6.1e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg14126884,-1.1,0.24,6.2e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg25522181,-1.09,0.24,6.2e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg13586457,-1.19,0.26,6.4e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg24685587,-1.52,0.34,6.4e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg16178003,-1.43,0.32,6.5e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg00004089,-1.42,0.32,6.8e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg02054252,-1.57,0.35,6.9e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg03785426,-1.32,0.29,7e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg12226453,-0.88,0.2,7.2e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg02976539,-1.26,0.28,7.4e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg03280108,1.12,0.25,7.6e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg23346237,-0.85,0.19,8.1e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg27191184,-1.21,0.27,8.2e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg02150910,-1.1,0.25,8.3e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg20737812,1.04,0.23,8.3e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg00594167,-0.85,0.19,8.3e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg17804886,-1.02,0.23,8.4e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg19784816,-1.36,0.31,8.6e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg18960216,-1.15,0.26,8.8e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg26648465,-1.06,0.24,8.8e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg25222319,-1.43,0.32,9e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg10576151,-1.31,0.29,9.1e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg17448335,-2.3,0.52,9.3e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg05227215,-1.37,0.31,9.3e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg22555517,-1.26,0.29,9.4e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg21217270,-0.97,0.22,9.4e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg06586496,-1.96,0.44,9.7e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg10096215,0.8,0.18,9.9e-06,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg13481776,-0.96,0.22,1e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg17599586,2.34,0.53,1e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg27548256,-1.28,0.29,1e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg11001739,-0.82,0.19,1.1e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg06778024,-1.4,0.32,1.1e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg18516609,-0.81,0.18,1.1e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg15691199,1.13,0.26,1.1e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg00728848,-1.39,0.32,1.2e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg09304968,-1.73,0.39,1.2e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg21022395,-1.16,0.26,1.2e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg19760410,2.02,0.46,1.2e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg11746924,-1.15,0.26,1.2e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg10243855,-0.89,0.2,1.3e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg11115622,0.67,0.15,1.3e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg08358263,-1.32,0.3,1.3e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg15860013,1.47,0.34,1.3e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg01000422,-0.97,0.22,1.3e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg12572049,2,0.46,1.3e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg19423175,-1.17,0.27,1.4e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg23847069,-0.78,0.18,1.4e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg20049273,-1.54,0.35,1.4e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg01011757,-1.25,0.29,1.4e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg24254387,1.34,0.31,1.4e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg25801622,-1.07,0.25,1.4e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg19149463,-1.05,0.24,1.4e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg11024682,1.26,0.29,1.4e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg23655939,-1.34,0.31,1.4e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg03345145,-1.35,0.31,1.5e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg25698205,-1.27,0.29,1.5e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg07447929,3.42,0.79,1.5e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg01804934,-0.79,0.18,1.5e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg10983470,-1.68,0.39,1.5e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg03163545,1,0.23,1.5e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg23048001,-1.09,0.25,1.5e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg01994290,1.01,0.23,1.5e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg16651877,1.12,0.26,1.6e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg22130673,-1.28,0.3,1.6e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg10679878,-1.12,0.26,1.6e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg13836518,0.81,0.19,1.6e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg27587780,-1.05,0.24,1.7e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg06786600,-1.56,0.36,1.7e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg24955196,0.92,0.21,1.7e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg27333269,-1.23,0.29,1.7e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg14168316,-1.54,0.36,1.8e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg21730533,-1.04,0.24,1.8e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg11133963,-1.09,0.25,1.8e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg27122888,1.01,0.24,1.9e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg24310246,-1.49,0.35,1.9e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg03003526,-1.46,0.34,1.9e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg07357256,3.78,0.89,1.9e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg20114528,-1.14,0.27,1.9e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg01557260,-1.1,0.26,2e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg03601886,-1.19,0.28,2e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg03032677,-1.2,0.28,2.1e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg13420934,-1.31,0.31,2.1e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg19301827,-1.4,0.33,2.1e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg26007445,-1.59,0.37,2.1e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg27287951,-0.84,0.2,2.1e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg01726890,-1.16,0.27,2.2e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg19795996,-1.45,0.34,2.2e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg25719851,1,0.24,2.2e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg20288927,-1.26,0.3,2.2e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg17729668,-1.52,0.36,2.2e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg09322984,2.5,0.59,2.2e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg08614201,-1.27,0.3,2.2e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg00262061,-1.17,0.28,2.2e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg02597269,1.59,0.37,2.3e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg23071286,-1.55,0.37,2.3e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg00515905,-1.57,0.37,2.3e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg07208891,-1.01,0.24,2.3e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg21911019,-0.66,0.16,2.3e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg05983405,-1.04,0.25,2.3e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg16893868,0.85,0.2,2.3e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg22277972,1.87,0.44,2.3e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg13427880,0.89,0.21,2.4e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg04664309,-1.22,0.29,2.4e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg04581571,-1.25,0.29,2.4e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg01537928,1.6,0.38,2.4e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg24231380,-0.72,0.17,2.4e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg23704066,1.96,0.46,2.4e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg09371559,-1.09,0.26,2.5e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg07301944,1.52,0.36,2.5e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg04528720,-1,0.24,2.5e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg02331262,-1.08,0.26,2.6e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg16483611,-3.26,0.77,2.6e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg27040968,-1.14,0.27,2.7e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg18064754,0.9,0.21,2.7e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg11393185,1.05,0.25,2.7e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg05406868,1.01,0.24,2.7e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg26102819,-0.9,0.21,2.8e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg11335172,-1.3,0.31,2.8e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg03972838,-1.16,0.28,2.8e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg06107796,-2,0.48,2.9e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg10644544,2.1,0.5,2.9e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg24749265,-1.03,0.25,2.9e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg12811871,-0.65,0.16,2.9e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg27628849,-1.28,0.31,2.9e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg01827097,1.23,0.29,3e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg18052778,-1.52,0.37,3.1e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg15037583,0.88,0.21,3.1e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg03055021,-1.18,0.28,3.1e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg23291126,-0.87,0.21,3.2e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg01952683,1.52,0.37,3.2e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg14254562,-1.5,0.36,3.2e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg13439189,-0.96,0.23,3.2e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg00618323,-1.07,0.26,3.3e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg02711899,1.65,0.4,3.3e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg01406456,-0.76,0.18,3.4e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg24408769,-0.66,0.16,3.4e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg13138155,3.01,0.73,3.4e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg14777342,1.47,0.36,3.5e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg04344923,-1.6,0.39,3.5e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg10790709,-1.5,0.36,3.5e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg09279679,-1.16,0.28,3.5e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg24188017,-0.98,0.24,3.6e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg07719172,-1.1,0.27,3.6e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg04519626,-1.29,0.31,3.6e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg22834511,-1.12,0.27,3.6e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg11157208,-0.66,0.16,3.6e-05,31197173_Liu-J_fasting_glucose_base_plus_bmi
